epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2388.74,1.04179,0.86423,1.32088,0.80276,0.70449,0.79462,0.52943,1.13787,0.93382,1.50988,0.000742625,0.000742625,0.000742625
43,2473.76,1.03319,0.84757,1.31128,0.76794,0.67095,0.7666,0.50057,1.25891,1.0706,1.62364,0.00073025,0.00073025,0.00073025
44,2554.25,1.02099,0.82234,1.29433,0.80989,0.692,0.80677,0.55673,1.11975,0.91572,1.48565,0.000717875,0.000717875,0.000717875
45,2619.27,1.01661,0.81503,1.28915,0.70616,0.74873,0.80377,0.53891,1.14136,0.96292,1.48619,0.0007055,0.0007055,0.0007055
46,2702.58,1.02078,0.82481,1.29347,0.81162,0.69931,0.80848,0.54937,1.12872,0.88833,1.48103,0.000693125,0.000693125,0.000693125
47,2772.89,0.99759,0.79781,1.28848,0.83461,0.68987,0.81549,0.54088,1.16701,0.89307,1.52329,0.00068075,0.00068075,0.00068075
48,2823.37,1.00214,0.82395,1.29563,0.80378,0.70263,0.81036,0.55964,1.10981,0.90167,1.46319,0.000668375,0.000668375,0.000668375
49,2878.16,1.01146,0.80906,1.29422,0.79968,0.73756,0.81974,0.55803,1.13949,0.87672,1.49885,0.000656,0.000656,0.000656
50,2932.29,0.99791,0.78661,1.28088,0.75355,0.7468,0.81667,0.54366,1.15753,0.88058,1.50431,0.000643625,0.000643625,0.000643625
51,2981.17,1.00028,0.79774,1.28586,0.7914,0.67766,0.77871,0.5219,1.18173,0.98411,1.549,0.00063125,0.00063125,0.00063125
52,3033.41,0.99577,0.7724,1.28216,0.81105,0.70282,0.80173,0.56456,1.10491,0.87681,1.46581,0.000618875,0.000618875,0.000618875
53,3101.33,0.98666,0.76777,1.27611,0.83549,0.7048,0.81253,0.55538,1.13616,0.88094,1.50934,0.0006065,0.0006065,0.0006065
54,3164.48,0.98062,0.74689,1.27796,0.77503,0.72995,0.78769,0.53958,1.13633,0.89946,1.4843,0.000594125,0.000594125,0.000594125
55,3218.91,0.99065,0.75206,1.28052,0.82412,0.72266,0.81883,0.5658,1.13345,0.88152,1.48541,0.00058175,0.00058175,0.00058175
56,3280.71,0.97912,0.74331,1.274,0.79451,0.76385,0.83174,0.57468,1.12292,0.82686,1.47135,0.000569375,0.000569375,0.000569375
57,3336.78,0.98728,0.74841,1.27243,0.8098,0.71851,0.81831,0.55041,1.14228,0.87445,1.47724,0.000557,0.000557,0.000557
58,3378.01,0.95537,0.72364,1.25787,0.82235,0.7584,0.8362,0.58026,1.1153,0.80692,1.47219,0.000544625,0.000544625,0.000544625
59,3426.44,0.96647,0.7332,1.26575,0.84817,0.75812,0.85258,0.58338,1.12486,0.79129,1.47407,0.00053225,0.00053225,0.00053225
60,3482.57,0.95354,0.70511,1.24393,0.83477,0.75204,0.83233,0.57198,1.10123,0.82068,1.4503,0.000519875,0.000519875,0.000519875
61,3541.46,0.96838,0.7217,1.25816,0.82489,0.72252,0.82016,0.55456,1.15287,0.86957,1.48444,0.0005075,0.0005075,0.0005075
62,3588.65,0.95658,0.72039,1.25298,0.88076,0.70596,0.81802,0.56259,1.11505,0.84602,1.47248,0.000495125,0.000495125,0.000495125
63,3633.75,0.93238,0.70279,1.24549,0.82597,0.76101,0.84948,0.586,1.09718,0.78301,1.43667,0.00048275,0.00048275,0.00048275
64,3689.69,0.94477,0.6865,1.24366,0.82001,0.81062,0.85793,0.5843,1.11397,0.7562,1.45929,0.000470375,0.000470375,0.000470375
65,3743.11,0.94646,0.67983,1.24391,0.85745,0.76545,0.85944,0.59455,1.10295,0.74236,1.42838,0.000458,0.000458,0.000458
66,3790.58,0.94214,0.69966,1.23486,0.79505,0.77923,0.84497,0.57919,1.11949,0.81616,1.47368,0.000445625,0.000445625,0.000445625
67,3834.44,0.92746,0.68375,1.23163,0.80861,0.77867,0.84751,0.58176,1.11533,0.77728,1.46125,0.00043325,0.00043325,0.00043325
68,3891.88,0.92412,0.66828,1.22943,0.78921,0.7562,0.83079,0.575,1.11432,0.83047,1.46002,0.000420875,0.000420875,0.000420875
69,3945,0.91818,0.67495,1.23255,0.80011,0.77947,0.83786,0.58302,1.09734,0.79109,1.45824,0.0004085,0.0004085,0.0004085
70,3992.1,0.90838,0.66639,1.22161,0.85116,0.77163,0.8439,0.57734,1.14991,0.79687,1.51721,0.000396125,0.000396125,0.000396125
71,4036.19,0.91318,0.66438,1.2272,0.8629,0.76493,0.86029,0.59165,1.11531,0.75252,1.46702,0.00038375,0.00038375,0.00038375
72,4089.72,0.89993,0.64713,1.21793,0.87443,0.7683,0.86299,0.59914,1.09572,0.75435,1.45142,0.000371375,0.000371375,0.000371375
73,4140.69,0.9109,0.64373,1.22006,0.87844,0.79209,0.86691,0.60608,1.09264,0.73532,1.43274,0.000359,0.000359,0.000359
74,4187.75,0.89927,0.65082,1.21868,0.8516,0.77239,0.85349,0.59092,1.11097,0.775,1.46846,0.000346625,0.000346625,0.000346625
75,4231.27,0.89973,0.63955,1.21257,0.85958,0.73987,0.84692,0.58658,1.12136,0.77531,1.46918,0.00033425,0.00033425,0.00033425
76,4284.85,0.88998,0.617,1.20438,0.85117,0.80965,0.86911,0.59964,1.08334,0.73195,1.43533,0.000321875,0.000321875,0.000321875
77,4335.86,0.88488,0.63139,1.2061,0.84748,0.79025,0.8579,0.59136,1.11018,0.76008,1.45113,0.0003095,0.0003095,0.0003095
78,4383.05,0.88432,0.61788,1.20822,0.88039,0.77423,0.87268,0.60468,1.09242,0.7289,1.44334,0.000297125,0.000297125,0.000297125
79,4426.8,0.87336,0.62404,1.19307,0.85143,0.76769,0.86028,0.59447,1.11618,0.75242,1.47098,0.00028475,0.00028475,0.00028475
80,4481.22,0.8803,0.61078,1.20554,0.83833,0.77892,0.85384,0.59715,1.11397,0.76031,1.47042,0.000272375,0.000272375,0.000272375
81,4532.89,0.87379,0.60374,1.19955,0.83846,0.78805,0.85518,0.60251,1.11043,0.73696,1.47878,0.00026,0.00026,0.00026
82,4579.98,0.86811,0.60687,1.19516,0.85614,0.8027,0.87558,0.60501,1.09653,0.71351,1.44554,0.000247625,0.000247625,0.000247625
83,4624.83,0.85789,0.59285,1.19229,0.87143,0.78615,0.8742,0.60711,1.07622,0.69426,1.42519,0.00023525,0.00023525,0.00023525
84,4678.27,0.85749,0.59175,1.18867,0.84818,0.79847,0.87398,0.60766,1.08862,0.70168,1.43168,0.000222875,0.000222875,0.000222875
85,4729.11,0.84652,0.584,1.18751,0.88948,0.79349,0.88051,0.61173,1.09349,0.70946,1.44242,0.0002105,0.0002105,0.0002105
86,4776.27,0.85095,0.58084,1.19487,0.88909,0.78281,0.8805,0.61483,1.08801,0.69272,1.44704,0.000198125,0.000198125,0.000198125
87,4819.6,0.82653,0.55947,1.16904,0.87091,0.79528,0.87533,0.61214,1.09299,0.7017,1.44114,0.00018575,0.00018575,0.00018575
88,4878.17,0.83485,0.56526,1.18793,0.83324,0.81128,0.87176,0.60251,1.10932,0.72442,1.45589,0.000173375,0.000173375,0.000173375
89,4929.36,0.84007,0.57631,1.18223,0.84319,0.79569,0.86341,0.59768,1.09118,0.74979,1.4459,0.000161,0.000161,0.000161
90,4976.55,0.84241,0.56821,1.17964,0.83179,0.81573,0.86685,0.60787,1.09995,0.71902,1.4568,0.000148625,0.000148625,0.000148625
91,5022.68,0.77482,0.47761,1.19526,0.8623,0.75574,0.84476,0.58915,1.12504,0.76094,1.49421,0.00013625,0.00013625,0.00013625
92,5076.78,0.73724,0.42265,1.15804,0.84271,0.79885,0.86273,0.60259,1.1116,0.72313,1.47015,0.000123875,0.000123875,0.000123875
93,5127.96,0.71854,0.4061,1.14921,0.87404,0.78366,0.85907,0.59651,1.10491,0.71135,1.4697,0.0001115,0.0001115,0.0001115
94,5177.99,0.72106,0.40977,1.15967,0.83733,0.81263,0.86829,0.59786,1.10214,0.71821,1.46196,9.9125e-05,9.9125e-05,9.9125e-05
95,5239.53,0.70136,0.39528,1.13863,0.86301,0.79341,0.86947,0.60309,1.09658,0.71975,1.45945,8.675e-05,8.675e-05,8.675e-05
96,5309.81,0.68954,0.3833,1.12407,0.86197,0.78936,0.87076,0.60222,1.09613,0.71838,1.46816,7.4375e-05,7.4375e-05,7.4375e-05
97,5371.38,0.69599,0.38838,1.1322,0.85162,0.79845,0.86201,0.60022,1.10544,0.72232,1.4847,6.2e-05,6.2e-05,6.2e-05
98,5418.37,0.68533,0.38373,1.1236,0.84844,0.80244,0.86092,0.59966,1.10595,0.71552,1.48615,4.9625e-05,4.9625e-05,4.9625e-05
99,5488.12,0.68821,0.38027,1.13042,0.86137,0.8069,0.87264,0.60581,1.10118,0.70463,1.47673,3.725e-05,3.725e-05,3.725e-05
100,5554.75,0.68468,0.37843,1.12608,0.85249,0.80297,0.874,0.60803,1.10422,0.70949,1.48157,2.4875e-05,2.4875e-05,2.4875e-05
